"Jahr","PLZ","Generalabonnement","Generalabonnement.Flag","Halbtaxabonnement","Halbtaxabonnement.Flag","Bevölkerung","anteil_ga_besitzer","anteil_hta_besitzer"
2018,6599,7.58461538461538,1,10.8771929824561,2,181,4.190395240119,6.00949888533488
2018,6605,7.58461538461538,1,164,NA,721,1.05195775098688,22.746185852982
2018,6614,25,NA,311,NA,1737,1.43926309729419,17.9044329303397
2018,6622,7.58461538461538,1,95,NA,460,1.64882943143813,20.6521739130435
2018,6633,7.58461538461538,1,10.8771929824561,2,95,7.98380566801619,11.449676823638
2018,6636,7.58461538461538,1,10.8771929824561,2,112,6.77197802197802,9.71177944862155
2018,6644,25,NA,188,NA,711,3.51617440225035,26.4416315049226
2018,6646,7.58461538461538,1,66,NA,438,1.7316473480857,15.0684931506849
2018,6648,124,NA,1225,NA,6880,1.80232558139535,17.8052325581395
2018,6654,7.58461538461538,1,159,NA,740,1.02494802494802,21.4864864864865
2018,6661,7.58461538461538,1,61,NA,320,2.37019230769231,19.0625
2018,6673,7.58461538461538,1,89,NA,845,0.897587619481111,10.5325443786982
2018,6690,7.58461538461538,1,41,NA,419,1.81017073618506,9.78520286396181
2018,6695,7.58461538461538,1,10.8771929824561,2,148,5.12474012474012,7.34945471787577
2018,6707,7.58461538461538,1,33,NA,575,1.3190635451505,5.73913043478261
2018,6713,7.58461538461538,1,113,NA,1356,0.559337417744497,8.33333333333333
2018,6716,7.58461538461538,1,39,NA,339,2.23734967097799,11.5044247787611
2018,6721,7.58461538461538,1,49,NA,490,1.54788069073783,10
2018,6722,7.58461538461538,1,46,NA,492,1.541588492808,9.34959349593496
2018,6763,7.58461538461538,1,47,NA,358,2.11860764933391,13.1284916201117
2018,6774,7.58461538461538,1,29,NA,182,4.16737109044801,15.9340659340659
2018,6777,7.58461538461538,1,27,NA,322,2.35547061634018,8.38509316770186
2018,6804,7.58461538461538,1,52,NA,626,1.21159990169575,8.30670926517572
2018,6814,30,NA,296,NA,3263,0.919399325773828,9.07140668096844
2018,6815,7.58461538461538,1,194,NA,1802,0.420899854862119,10.7658157602664
2018,6817,7.58461538461538,1,66,NA,686,1.10562906481274,9.62099125364431
2018,6825,7.58461538461538,1,72,NA,793,0.956445824037249,9.07944514501892
2018,6827,7.58461538461538,1,71,NA,470,1.61374795417349,15.1063829787234
2018,6832,7.58461538461538,1,79,NA,868,0.8738036157391,9.10138248847926
2018,6834,32,NA,341,NA,4576,0.699300699300699,7.45192307692308
2018,6852,7.58461538461538,1,78,NA,1079,0.702930063449063,7.2289156626506
